,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
1298,Says Jan. 6 Capitol riot “didn’t seem like an armed insurrection.”,meter-false,2021,February,15
1299,"Doctors and nurses who administer the coronavirus vaccine can be ""tried as war criminals.""",meter-false,2021,February,6
1300,“Donald Trump is the first president in modern history (who) did not start a new war.”,meter-mostly-false,2021,January,22
1301,“U.S. military at the White House arresting Congress.”,meter-false,2021,January,28
1302,“The U.S. Senate cannot convict a former President.”,meter-mostly-false,2021,January,26
1303,"""This election actually was not unusually close.""",meter-true,2021,January,6
1304,"“Last year, Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the Pennsylvania Constitution said.”",meter-mostly-false,2021,January,6
1305,"Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections, leaving some voters unable to cast ballots.",meter-mostly-false,2021,January,5
1306,Says that the oil and gas industry comprises 35% of the Texas economy.,meter-mostly-true,2020,December,12
1307,The COVID-19 pandemic has caused four of the eight “deadliest days in American history.”,meter-mostly-true,2020,December,7
1308,"""If all goes 'well' it'll become federal law to get the (COVID-19) vaccine.""",meter-false,2020,December,8
1309,"“40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?”",meter-mostly-false,2020,December,6
1310,"“The president got the highest percentage of minority votes of any Republican candidate for president in over 100 years.""",meter-false,2020,November,24
1311,“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,meter-mostly-false,2020,December,2
1312,"Says Raphael Warnock defended the “hatred” of Jeremiah Wright, the pastor who said “not God bless America, God damn America,” and gave Wright “an award for truth telling.”",meter-mostly-false,2020,November,13
1313,"“At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",meter-false,2020,November,8
1314,"When Donald Trump lost the Iowa caucus to Ted Cruz in 2016, ""he immediately cried that Cruz cheated.”",meter-true,2020,November,18
1315,Says someone tried to suppress votes by disguising trash cans as ballot boxes.,meter-false,2020,October,27
1316,"In the plot to kidnap Michigan Gov. Gretchen Whitmer, “the perps were ANTIFA and BLM anarchists.”",meter-mostly-false,2020,October,17
1317,"Speaking of the federal debt before the coronavirus pandemic, “we were starting to get that number down.”",meter-false,2020,October,14
1318,“The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself.”,meter-false,2020,October,12
1319,"Says Joe Biden and Barack Obama “directly participated in a plot to have #SealTeam6 MURDERED, then arranged a massive cash deal as part of a cover up.”",meter-false,2020,October,13
1320,"Image quotes Sen. Ted Cruz as saying, “In the last election, 54 million evangelical Christians stayed home. If Christians will simply show up and vote our values, we’ll turn this country around.”",meter-mostly-true,2020,October,1
1321,The Commission on Presidential Debates wrote a letter after the 2016 presidential debates apologizing to Donald Trump.,meter-false,2020,October,8
1322,Says ballots in Wisconsin “are being dumped in rivers” or creeks.,meter-false,2020,September,29
1323,Says President Donald Trump started a trade war that “led to a surge in farm bankruptcies.”,meter-mostly-true,2020,September,21
1324,Says Joe Biden “disrespects servicemen” in telling them to “clap for that you stupid bastards.”,meter-mostly-true,2020,September,26
1325,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,meter-true,2020,September,23
1326,"“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""",meter-false,2020,September,16
1327,Says Donald Trump funded a Veterans Day parade 26 years ago in New York City after the city refused to pay.,meter-mostly-true,2020,September,9
1328,“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”,meter-false,2020,September,14
1329,Says Donald Trump “let federal contractors double offshoring jobs in his first 18 months in office.”,meter-mostly-true,2020,September,7
1330,"""ANTIFA is now carrying chain saws, and cutting down utility poles, and starting more fires.""",meter-false,2020,September,13
1331,"""I never called John (McCain) a loser.""",meter-false,2020,September,3
1332,“President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.”,meter-mostly-false,2020,August,26
1333,"Says Joe Biden “voted for the Iraq War … He supported war in Serbia, Syria, Libya.”",meter-mostly-true,2020,August,25
1334,"“So this is just a way they’re trying to steal the election, and everybody knows that. Because the only way they’re going to win is by a rigged election.”",meter-false,2020,August,20
1335,"Says Ben Shapiro tweeted, “The USPS is not only a bloated and outdate government agency, it is also ineffective and incompetent. It’s been 2 months since my wife went on a Hawaii vacation with her personal trainer; she said she would send me postcards every day and so far none of them have arrived.”",meter-false,2020,August,16
1336,"Says Anthony Fauci, Bill Gates, George Soros and Jeffrey Epstein are connected with Moderna, Inc., and its efforts to create the coronavirus vaccine.",meter-false,2020,August,2
1337,Says series of 11 photos are “from the 1918 flu pandemic.”,meter-mostly-false,2020,August,5
1338,“This man funds #ANTIFA. He is a real #NAZI. His name is George Soros.”,meter-false,2020,August,3
1339,“Israel dropped a tactical nuclear weapon on the port of Beirut.”,meter-false,2020,August,5
1340,“America was the ONLY country that ended” slavery,meter-false,2020,July,1
1341,“Portland goon squads were Blackwater contractors not federal officers.”,meter-false,2020,July,20
1342,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,2020,July,22
1343,The Trump administration has had “zero unfulfilled equipment and supply requests from state governors.”,meter-false,2020,July,21
1344,No U.S. presidents elected before Donald Trump were racist.,meter-false,2020,July,22
1345,“We're setting record job numbers.”,meter-mostly-false,2020,July,21
1346,Bank of America just pledged $1 billion dollars to Black Lives Matter.,meter-false,2020,July,17
1347,“Alexandria Ocasio-Cortez votes with President Trump more than Abigail Spanberger does.”,meter-mostly-true,2020,July,11
1348,Says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19,meter-mostly-true,2020,July,13
1349,“All the books” have been removed from the classrooms of a Minnesota middle school because administrators “claim that the books cannot be cleaned.”,meter-false,2020,July,14
1350,Quotes Dr. Denis Mukwege as saying he resigned from the Congolese coronavirus response team because he was ordered to fabricate COVID-19 case and death numbers.,meter-false,2020,July,4
1351,"""Three hundred sixty thousand Pennsylvanians fought on the side of the Union to defeat the flag, that Confederate flag, including more Black soldiers coming from Pennsylvania than any other state in the nation.""",meter-mostly-true,2020,July,9
1352,"Says Gary Peters ""fought against funding for the VA, veterans housing programs, military pay raises, and health care and research for veterans and their families. He also fought against funding for processing veterans’ disability claims.”",meter-false,2020,July,6
1353,Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,meter-true,2020,June,23
1354,The President’s Daily Brief “is like a mini novel.”,meter-false,2020,July,2
1355,"Says Donald Trump used farmers’ struggles “to push through a multi-billion dollar bailout program that was nothing more than a handout for large agricultural companies.""",meter-mostly-false,2020,June,18
1356,Says “Joe Biden supported the Castro regime and meeting with Maduro.”,meter-mostly-false,2020,June,28
1357,“Trump lost a trade war that he started.”,meter-mostly-true,2020,June,24
1358,"""You weren't allowed to own a cannon during the Revolutionary War as an individual.""",meter-false,2020,May,21
1359,“Joe Biden’s great-grandfather Joseph J. Biden was a slave-owner and fought” for the Confederacy.,meter-false,2020,June,22
1360,Antifa “are killing our police. Looting our businesses. Assaulting the elderly and burning our churches.”,meter-false,2020,June,22
1361,Photos show the inside of the BOK Center during Donald Trump’s rally in Tulsa.,meter-false,2020,June,21
1362,"Former slave Nancy Green, the first Aunt Jemima model, died “as one of America’s first black millionaires.”",meter-false,2020,June,17
1363,"Nazi Germany’s Hermann Göring worked to ""defund and eliminate the police departments so that they would not interfere with his Brown Shirts.""",meter-false,2020,June,14
